Sample	Total Reads After Trimming	Hisat2  Mapped Reads	Hisat2  Unmapped Reads	Hisat2 %  Mapped Reads	Total Reads After Removing Duplicates	BWA-MEM SARS-CoV-2 Mapped Reads	BWA % SARS-CoV-2 Mapped Reads	Mean of Coverage Depth	Standard Deviation of Coverage Depth	Mean Mapping Quality	GC Percentage	Error Rate	Collection Date	Gender	Age
ILSCV18534	-	-	-	-	268316	224103	83.52%	330.8629X	1,750.4377X	55.803	41.22%	0.0016	-	-	-
ILSCV18534_P7	-	-	-	-	1335388	880870	65.96%	3,174.2176X	1,547.3298X	59.938	38.35%	0.0012	-	-	-
ILSCV24694	-	-	-	-	393820	344790	87.55%	769.93X	1,755.389X	58.0129	39.6%	0.0014	-	-	-
ILSCV24694_P7	-	-	-	-	939492	575137	61.22%	2,111.9797X	1,081.0197X	59.934	38.32%	0.0012	-	-	-
ILSCV17568	-	-	-	-	338942	296496	87.48%	638.4873X	1,693.4454X	58.7916	39.82%	0.0018	-	-	-
ILSCV17568_P7	-	-	-	-	976867	604196	61.85%	2,216.5548X	1,180.3773X	59.9495	38.34%	0.001	-	-	-
ILSCV16809	-	-	-	-	322047	259516	80.58%	449.742X	1,678.8982X	57.4041	40.71%	0.0015	-	-	-
ILSCV16809_P7	-	-	-	-	1055064	607112	57.54%	2,208.1951X	1,442.1862X	59.9228	38.49%	0.0012	-	-	-
ILSCV20557	-	-	-	-	413370	370668	89.67%	918.6152X	1,852.7621X	58.6183	39.41%	0.0014	-	-	-
ILSCV20557_P7	-	-	-	-	929187	559572	60.22%	2,044.8298X	1,073.1212X	59.9319	38.34%	0.0011	-	-	-
ILSCV12752	-	-	-	-	563010	526443	93.51%	1,586.0327X	2,607.4675X	59.3866	38.63%	0.0017	-	-	-
ILSCV12752_P7	-	-	-	-	931363	650843	69.88%	2,414.0175X	1,230.3851X	59.9635	38.27%	0.0011	-	-	-
ILSCV19192	-	-	-	-	401820	336530	83.75%	622.0705X	1,915.5824X	57.8037	40.5%	0.002	-	-	-
ILSCV19192_P7	-	-	-	-	721916	475871	65.92%	1,738.4718X	1,065.1849X	59.9356	38.43%	0.001	-	-	-
ILSCV20165	-	-	-	-	296258	248175	83.77%	418.3079X	1,703.9663X	57.4278	40.55%	0.0011	-	-	-
ILSCV20165_P7	-	-	-	-	953897	625055	65.53%	2,337.9573X	1,281.9031X	59.9566	38.36%	0.0009	-	-	-
ILSCV13907	-	-	-	-	428674	389203	90.79%	1,105.629X	2,081.7053X	59.2901	38.9%	0.0013	-	-	-
ILSCV13907_P7	-	-	-	-	1012536	652970	64.49%	2,321.2431X	1,702.1793X	59.7591	38.52%	0.0012	-	-	-
ILSCV16012	-	-	-	-	229311	189214	82.51%	281.4993X	1,384.6422X	55.4396	41.49%	0.0015	-	-	-
ILSCV16012_P7	-	-	-	-	853498	592120	69.38%	2,199.7226X	1,059.6004X	59.956	38.29%	0.0009	-	-	-
ILSCV17741	-	-	-	-	326890	290087	88.74%	649.1297X	1,698.0801X	58.6267	39.53%	0.0011	-	-	-
ILSCV17741_P7	-	-	-	-	910137	592513	65.1%	2,186.2806X	1,139.9221X	59.9396	38.37%	0.0009	-	-	-
